EstablishmentID,InspectionID,Ins_TypeDesc,EstablishmentName,PlaceName,Address,Address2,City,State,Zip,TypeDescription,InspectionDate,score,Grade,NameSearch,Intersection,OBJECTID
31081,1660703,REGULAR,LOU. BAPT HOSP CHILD DEV.,,4000 KRESGE WAY,,LOUISVILLE,KY,40207,FOOD SERVICE (DAY CARE / CHILD CARE CENTER,2022/03/24 00:00:00,100,A,LOU. BAPT HOSP CHILD DEV.,,44
31081,1700142,REGULAR,LOU. BAPT HOSP CHILD DEV.,,4000 KRESGE WAY,,LOUISVILLE,KY,40207,FOOD SERVICE (DAY CARE / CHILD CARE CENTER,2022/09/08 00:00:00,100,A,LOU. BAPT HOSP CHILD DEV.,,45
31097,1666562,REGULAR,KINDER CARE LEARNING CTR #417,,2013 HERR LN,,LOUISVILLE,KY,40222,FOOD SERVICE (DAY CARE / CHILD CARE CENTER,2022/04/20 00:00:00,99,A,KINDER CARE LEARNING CTR #417,,46
31097,1703833,REGULAR,KINDER CARE LEARNING CTR #417,,2013 HERR LN,,LOUISVILLE,KY,40222,FOOD SERVICE (DAY CARE / CHILD CARE CENTER,2022/09/26 00:00:00,99,A,KINDER CARE LEARNING CTR #417,,47
31145,1648878,REGULAR,ST. JOSEPH CHILD DEV. CTR,,2823 FRANKFORT AVE,,LOUISVILLE,KY,40206,FOOD SERVICE (DAY CARE / CHILD CARE CENTER,2022/01/27 00:00:00,99,A,ST. JOSEPH CHILD DEV. CTR,,48
31145,1692904,REGULAR,ST. JOSEPH CHILD DEV. CTR,,2823 FRANKFORT AVE,,LOUISVILLE,KY,40206,FOOD SERVICE (DAY CARE / CHILD CARE CENTER,2022/08/09 00:00:00,99,A,ST. JOSEPH CHILD DEV. CTR,,49
31189,1663670,REGULAR,MINI VERSITY DOWNTOWN CHILD DEVELOPMENT CENTER,,306 ROY WILKINS BLVD,,LOUISVILLE,KY,40203,FOOD SERVICE (DAY CARE / CHILD CARE CENTER,2022/04/05 00:00:00,100,A,MINI VERSITY DOWNTOWN CHILD DEVELOPMENT CENTER,,50
31202,1653510,COMPLAINT,CHESTNUT STREET YMCA,,930 W CHESTNUT ST,,LOUISVILLE,KY,40203,FOOD SERVICE (DAY CARE / CHILD CARE CENTER,2022/02/15 00:00:00,,,CHESTNUT STREET YMCA,,51
31202,1653512,FOLLOWUP,CHESTNUT STREET YMCA,,930 W CHESTNUT ST,,LOUISVILLE,KY,40203,FOOD SERVICE (DAY CARE / CHILD CARE CENTER,2022/02/16 00:00:00,,,CHESTNUT STREET YMCA,,52
31202,1652183,REGULAR,CHESTNUT STREET YMCA,,930 W CHESTNUT ST,,LOUISVILLE,KY,40203,FOOD SERVICE (DAY CARE / CHILD CARE CENTER,2022/02/15 00:00:00,97,A,CHESTNUT STREET YMCA,,53
31203,1661692,REGULAR,MAPLE GROVE DAY CARE,,5911 E MANSLICK RD,,LOUISVILLE,KY,40219,FOOD SERVICE (DAY CARE / CHILD CARE CENTER,2022/03/29 00:00:00,98,A,MAPLE GROVE DAY CARE,,54
31203,1671142,SURVEY,MAPLE GROVE DAY CARE,,5911 E MANSLICK RD,,LOUISVILLE,KY,40219,FOOD SERVICE (DAY CARE / CHILD CARE CENTER,2022/04/14 00:00:00,,,MAPLE GROVE DAY CARE,,55
31211,1644552,REGULAR,SOUTHSIDE CHRISTIAN #2,,4014 TAYLOR BLVD,,LOUISVILLE,KY,40215,FOOD SERVICE (DAY CARE / CHILD CARE CENTER,2021/12/29 00:00:00,100,A,SOUTHSIDE CHRISTIAN #2,,56
31211,1691013,REGULAR,SOUTHSIDE CHRISTIAN #2,,4014 TAYLOR BLVD,,LOUISVILLE,KY,40215,FOOD SERVICE (DAY CARE / CHILD CARE CENTER,2022/08/02 00:00:00,100,A,SOUTHSIDE CHRISTIAN #2,,57
31231,1633459,REGULAR,TEMPLE PRE-SCHOOL,,5101 US HWY 42,,LOUISVILLE,KY,40241,FOOD SERVICE (DAY CARE / CHILD CARE CENTER,2021/11/01 00:00:00,100,A,TEMPLE PRE-SCHOOL,,58
31231,1669893,REGULAR,TEMPLE PRE-SCHOOL,,5101 US HWY 42,,LOUISVILLE,KY,40241,FOOD SERVICE (DAY CARE / CHILD CARE CENTER,2022/05/04 00:00:00,100,A,TEMPLE PRE-SCHOOL,,59
31288,1642458,REGULAR,LA PETITE ACADEMY,,10501 TIMBERWOOD CIR,,LOUISVILLE,KY,40223,FOOD SERVICE (DAY CARE / CHILD CARE CENTER,2021/12/14 00:00:00,100,A,LA PETITE ACADEMY,,60
31288,1677228,REGULAR,LA PETITE ACADEMY,,10501 TIMBERWOOD CIR,,LOUISVILLE,KY,40223,FOOD SERVICE (DAY CARE / CHILD CARE CENTER,2022/06/06 00:00:00,98,A,LA PETITE ACADEMY,,61
31299,1652970,REGULAR,SOUTHSIDE CHRISTIAN #3,,7419 ST. ANDREWS CHURCH RD,,LOUISVILLE,KY,40214,FOOD SERVICE (DAY CARE / CHILD CARE CENTER,2022/02/17 00:00:00,97,A,SOUTHSIDE CHRISTIAN #3,,62
31299,1692618,REGULAR,SOUTHSIDE CHRISTIAN #3,,7419 ST. ANDREWS CHURCH RD,,LOUISVILLE,KY,40214,FOOD SERVICE (DAY CARE / CHILD CARE CENTER,2022/08/08 00:00:00,98,A,SOUTHSIDE CHRISTIAN #3,,63
31301,1654706,REGULAR,EASTERN STAR HOME HIGHLANDS COMMUNITY MINISTRIES,,917 EASTERN STAR CT,,LOUISVILLE,KY,40204,FOOD SERVICE (DAY CARE / CHILD CARE CENTER,2022/02/25 00:00:00,100,A,EASTERN STAR HOME HIGHLANDS COMMUNITY MINISTRIES,,64
31301,1694964,REGULAR,EASTERN STAR HOME HIGHLANDS COMMUNITY MINISTRIES,,917 EASTERN STAR CT,,LOUISVILLE,KY,40204,FOOD SERVICE (DAY CARE / CHILD CARE CENTER,2022/08/17 00:00:00,100,A,EASTERN STAR HOME HIGHLANDS COMMUNITY MINISTRIES,,65
31323,1636977,REGULAR,CHRISTIAN HEALTH CENTER,,920 S 4TH ST,,LOUISVILLE,KY,40203,FOOD SERVICE (HOSPITAL / NURSING HOME,2021/11/18 00:00:00,95,A,CHRISTIAN HEALTH CENTER,,66
31323,1669301,REGULAR,CHRISTIAN HEALTH CENTER,,920 S 4TH ST,,LOUISVILLE,KY,40203,FOOD SERVICE (HOSPITAL / NURSING HOME,2022/05/02 00:00:00,98,A,CHRISTIAN HEALTH CENTER,,67
31323,1702118,REGULAR,CHRISTIAN HEALTH CENTER,,920 S 4TH ST,,LOUISVILLE,KY,40203,FOOD SERVICE (HOSPITAL / NURSING HOME,2022/09/16 00:00:00,95,A,CHRISTIAN HEALTH CENTER,,68
31329,1664778,REGULAR,ESSEX NURSING & REHABILITATION CENTER,,9600 LAMBOURNE BLVD,,LOUISVILLE,KY,40272,FOOD SERVICE (HOSPITAL / NURSING HOME,2022/04/12 00:00:00,99,A,ESSEX NURSING & REHABILITATION CENTER,,69
31329,1629981,FOLLOWUP,ESSEX NURSING & REHABILITATION CENTER,,9600 LAMBOURNE BLVD,,LOUISVILLE,KY,40272,FOOD SERVICE (HOSPITAL / NURSING HOME,2021/10/15 00:00:00,99,A,ESSEX NURSING & REHABILITATION CENTER,,70
31334,1652908,REGULAR,GOOD SAMARITAN,,3500 GOOD SAMARITAN WAY,,LOUISVILLE,KY,40299,FOOD SERVICE,2022/02/17 00:00:00,100,A,GOOD SAMARITAN,,71
31334,1693461,REGULAR,GOOD SAMARITAN,,3500 GOOD SAMARITAN WAY,,LOUISVILLE,KY,40299,FOOD SERVICE,2022/08/10 00:00:00,98,A,GOOD SAMARITAN,,72
31335,1640547,REGULAR,ALTENHEIM,,936 BARRET AVE,,LOUISVILLE,KY,40204,FOOD SERVICE (HOSPITAL / NURSING HOME,2021/12/07 00:00:00,98,A,ALTENHEIM,,73
31335,1677041,REGULAR,ALTENHEIM,,936 BARRET AVE,,LOUISVILLE,KY,40204,FOOD SERVICE (HOSPITAL / NURSING HOME,2022/06/03 00:00:00,96,A,ALTENHEIM,,74
31336,1654061,REGULAR,MASONIC HOMES MAIN KITCHEN,,240 MASONIC HOME DR,,MASONIC HOME,KY,40041,FOOD SERVICE (HOSPITAL / NURSING HOME,2022/02/23 00:00:00,95,A,MASONIC HOMES MAIN KITCHEN,,75
